tool|type|value|source
LiveJournal|description|LiveJournal is a longstanding blogging/personal journal platform.|BambooDirt
LiveJournal|operating-system|Web|TERESAH
LiveJournal|application-category|Writing|TERESAH
MantisBT|keyword|analysis|TERESAH
MantisBT|operating-system|Cross-platform|TERESAH
MantisBT|standard|CSS|TERESAH
MantisBT|standard|CSV|TERESAH
MantisBT|standard|DOC|TERESAH
MantisBT|creator|Futureware Pty Ltd|TERESAH
MantisBT|license|GNU GPL|TERESAH
MantisBT|standard|HTML|TERESAH
MantisBT|url|http://www.mantisbt.org/|TERESAH
MantisBT|creator|Kenzaburo Ito and Victor Boctor|TERESAH
MantisBT|description|"MantisBT is a free popular web-based bugtracking system written in the PHP scripting language. The most common use of MantisBT is to track software defects. However, MantisBT is often configured by users to serve as a more generic issue tracking system and project management tool.
Features:
event-driven-plug-in system

works with MySQL, MS SQL, PostgreSQL, SQLite, Oracle and IBM DB2 databases


RSS Feeds


Customisable workflow


Wiki integration


Chat integration"|BambooDirt
MantisBT|description|MantisBT is a free popular web-based bugtracking system written in the PHP scripting language.The most common use of MantisBT is to track software defects. However, MantisBT is often configured by users to serve as a more generic issue tracking system and project management tool.|ArtsHumanities
MantisBT|keyword|MySQL|TERESAH
MantisBT|keyword|PHP|TERESAH
MantisBT|standard|RSS|TERESAH
MantisBT|keyword|scripting language|TERESAH
MantisBT|keyword|Tracking|TERESAH
MantisBT|operating-system|Web|TERESAH
MantisBT|application-category|Web development|TERESAH
MantisBT|standard|XLS|TERESAH
MediaWiki|license|Creative Commons Attribution-Share Alike|TERESAH
MediaWiki|url|https://www.mediawiki.org/wiki/MediaWiki|TERESAH
MediaWiki|creator|MediaWiki|TERESAH
MediaWiki|description|"MediaWiki is a free software open source wiki for the documentation, discussion, and development of the MediaWiki software, which powers Wikipedia and other Wikimedia Foundation projects.
A wiki is a website where users can add or modify content via a web browser. System administrators can install and configure MediaWiki. Developers can become a ""MediaWiki hacker"" and learn to use the API and write extensions."|BambooDirt
MediaWiki|operating-system|osX|TERESAH
MediaWiki|keyword|PHP 5.2.3+|TERESAH
MediaWiki|application-category|Web development|TERESAH
MediaWiki|keyword|wiki|TERESAH
MindMup|description|A free browser-based brainstorming tool that lets you create visually interesting mind maps quickly and intuitively. Similar to other mind-mapping or brainstorming tools (ex. Bubbl.us and FreeMind), MindMup has lots of options for embedding,sharing, or saving maps. Maps can be saved to Google Drive or to MindMup. Includes extensions to allow users to collaborate on maps in real time.|BambooDirt
MindMup|keyword|Active|TERESAH
MindMup|is-used-for|Brainstorming|TERESAH
MindMup|url|http://www.mindmup.com/|TERESAH
MindMup|keyword|mind mapping|TERESAH
MindMup|operating-system|Web|TERESAH
MIT App Inventor|keyword|Active|TERESAH
MIT App Inventor|operating-system|Android|TERESAH
MIT App Inventor|keyword|app development|TERESAH
MIT App Inventor|keyword|Google Account|TERESAH
MIT App Inventor|url|http://explore.appinventor.mit.edu/|TERESAH
MIT App Inventor|creator|MIT|TERESAH
MIT App Inventor|description|"The MIT App Inventory (formerly Google App Inventor) allows users to develop applications for Android phones using a web browser and either a connected phone or emulator. Includes forum and tutorials; requires a Google account."|BambooDirt
MIT App Inventor|application-category|Web development|TERESAH
Modernizr|license|BSD|TERESAH
Modernizr|url|http://modernizr.com/|TERESAH
Modernizr|operating-system|Linux|TERESAH
Modernizr|description|Modernizr is a small JavaScript library that detects the availability of native implementations for next-generation web technologies, i.e. features that stem from the HTML5 and CSS3 specifications.|BambooDirt
Modernizr|application-category|Web development|TERESAH
Modest Maps|license|BSD|TERESAH
Modest Maps|url|http://modestmaps.com/|TERESAH
Modest Maps|operating-system|Linux|TERESAH
Modest Maps|keyword|map tiles|TERESAH
Modest Maps|is-used-for|Mapping|TERESAH
Modest Maps|description|Modest Maps is a display and interaction library for tile-based maps in Flash and Python that can display maps from external sources (e.g. OpenStreetMap, NASA Blue Marble, Yahoo!, Microsoft, but not Google Maps|BambooDirt
Mozilla Thimble|description|A simple web-based HTML and CSS editor geared toward beginners. Thimble splits your window into two panes - one is the editor and the other displays a preview of your work. Includes tutorial projects for learning to code. Offers option for webpages to be published by thimble.webmaker.org.|BambooDirt
Mozilla Thimble|keyword|Active|TERESAH
Mozilla Thimble|url|https://thimble.webmaker.org/|TERESAH
Mozilla Thimble|creator|Mozilla|TERESAH
Mozilla Thimble|operating-system|Web|TERESAH
Mozilla Thimble|application-category|Web development|TERESAH
Mozilla Thimble|keyword|web development|TERESAH
MySQL|description|A software application that enables relational databases to be created, managed and queried. The database management system enables multiple users to access a database through an appropriate interface. As an open source tool, MySQL underpins a number of free software projects, such as WordPress, phpBB and other software built on a LAMP infrastructure. Although widely used, there are a number of performance issues that limit its use in some environments. For example, it is unable to use multiple CPU cores to process a single query, potentially limiting its use as a data warehouse.|ArtsHumanities
MySQL|description|"A software application that enables relational databases to be created, managed and queried. The database management system enables multiple users to access a database through an appropriate interface. As an open source tool, MySQL underpins a number of free software projects, such as WordPress, phpBB and other software built on a LAMP infrastructure. Although widely used, there are a number of performance issues that limit its use in some environments. For example, it is unable to use multiple CPU cores to process a single query, potentially limiting its use as a data warehouse.
Features:
X/Open XA distributed transaction processing (DTP) support
Connector/ODBC enables connection to a MySQL server using the Open Database Connectivity (ODBC) API
Connector/NET enables developers to create .NET applications that use data stored in a MySQL database"|BambooDirt
MySQL|keyword|analysis|TERESAH
MySQL|keyword|ANSI SQL|TERESAH
MySQL|keyword|creation|TERESAH
MySQL|operating-system|Cross-platform|TERESAH
MySQL|keyword|Data modelling|TERESAH
MySQL|license|GNU GPL|TERESAH
MySQL|url|http://www.mysql.com/|TERESAH
MySQL|operating-system|Linux|TERESAH
MySQL|creator|MySQL AB|TERESAH
MySQL|application-category|Publishing|TERESAH
MySQL|keyword|rdbms|TERESAH
MySQL|keyword|relational database|TERESAH
MySQL|keyword|SQL|TERESAH
MySQL|creator|Sun Microsystems|TERESAH
MySQL|application-category|Web development|TERESAH
MyStickies|application-category|Annotating|TERESAH
MyStickies|keyword|editing|TERESAH
MyStickies|url|http://www.mystickies.com/|TERESAH
MyStickies|creator|Josh Buhler|TERESAH
MyStickies|description|MyStickies allows you to place small yellow squares of digital paper on web pages. MyStickies also provides an interface to browse, search, sort and edit with your sticky notes from any computer.|BambooDirt
MyStickies|operating-system|Web|TERESAH
Omeka.net|keyword|archiving|TERESAH
Omeka.net|keyword|ATOM|TERESAH
Omeka.net|keyword|Cataloguing and indexing|TERESAH
Omeka.net|creator|Center for History and New Media,George Mason University|TERESAH
Omeka.net|keyword|CMS|TERESAH
Omeka.net|keyword|creation|TERESAH
Omeka.net|operating-system|Cross-platform|TERESAH
Omeka.net|keyword|data management|TERESAH
Omeka.net|keyword|Dublin Core|TERESAH
Omeka.net|license|GNU GPL|TERESAH
Omeka.net|standard|HTML|TERESAH
Omeka.net|url|http://www.omeka.net/|TERESAH
Omeka.net|keyword|JSON|TERESAH
Omeka.net|operating-system|Linux|TERESAH
Omeka.net|keyword|museum|TERESAH
Omeka.net|keyword|Omeka|TERESAH
Omeka.net|description|Omeka is a free, flexible, and open source web-publishing platform for the display of library, museum, archives, and scholarly collections and exhibitions. Omeka falls at a crossroads of Web Content Management, Collections Management, and Archival Digital Collections Systems. Omeka is designed with non-IT specialists in mind, allowing users to focus on content and interpretation rather than programming. It brings Web 2.0 technologies and approaches to academic and cultural websites to foster user interaction and participation. It makes top-shelf design easy with a simple and flexible templating system. Its robust open-source developer and user communities underwrite Omeka’s stability and sustainability.Omeka allows users to publish cultural heritage objects, extend its functionality with themes and plugins, and curate online exhibits with digital objects.|ArtsHumanities
Omeka.net|description|"Omeka.net provides free and paid hosting for Omeka sites, with different degrees of flexibility depending on the hosting plan.

Users can contact the Omeka Team to request a zip file with the files and MySQL database of their Omeka.net site to migrate it to another hosting environment."|BambooDirt
Omeka.net|operating-system|osX|TERESAH
Omeka.net|keyword|Paid|TERESAH
Omeka.net|standard|PDF|TERESAH
Omeka.net|keyword|PHP|TERESAH
Omeka.net|keyword|Powerpoint Document (.ppt)|TERESAH
Omeka.net|application-category|Publishing|TERESAH
Omeka.net|standard|RSS2|TERESAH
Omeka.net|keyword|structuring|TERESAH
Omeka.net|operating-system|Web|TERESAH
Omeka.net|keyword|web content management|TERESAH
Omeka.net|application-category|Web development|TERESAH
Omeka.net|keyword|web-publishing|TERESAH
Omeka.net|operating-system|Windows|TERESAH
Omeka.net|standard|XML|TERESAH
Open Attribute|license|Creative Commons Attribution|TERESAH
Open Attribute|url|http://openattribute.com/|TERESAH
Open Attribute|creator|Nathan Yergler|TERESAH
Open Attribute|description|Open Attribute is a suite of tools that makes it simple for anyone to copy and paste the correct attribution for any CC licensed work. These tools will query the metadata around a CC-licensed object and produce a properly formatted attribution that users can copy and paste wherever they need to.|BambooDirt
Open Attribute|application-category|Publishing|TERESAH
Open Attribute|operating-system|Web|TERESAH
Open Conference Systems|url|http://pkp.sfu.ca/ocs|TERESAH
Open Conference Systems|description|Open Conference Systems (OCS) is a tool that allows users to create a conference website, send a call for papers, accept paper and abstract submissions, post conference proceedings and data sets, register participants, and enable post-conference online discussion.|BambooDirt
Open Conference Systems|creator|Public Knowledge Project|TERESAH
Open Conference Systems|application-category|Publishing|TERESAH
Open Conference Systems|operating-system|Web|TERESAH
Open Conference Systems|keyword|web publishing|TERESAH
Open Journal Systems|url|http://pkp.sfu.ca/ojs|TERESAH
Open Journal Systems|description|Open Journal Systems (OJS) is a journal management and publishing system.|BambooDirt
Open Journal Systems|creator|Public Knowledge Project|TERESAH
Open Journal Systems|application-category|Publishing|TERESAH
Open Journal Systems|operating-system|Web|TERESAH
OpendTect|keyword|2d graphic design|TERESAH
OpendTect|keyword|3d graphic design|TERESAH
OpendTect|description|A software application for analysing and visualising multi-volume seismic data. OpendTect may be used to analyse 2D, 3D and 4D pre- and post-stack seismic data.|ArtsHumanities
OpendTect|description|"A software application that is used for analysing and visualising multi-volume seismic data.

Features:
Visualization and analysis of 2D and 3D seismic data in a single survey

2D and 3D horizon tracking including auto-tracking, plane-by-plane, line and manual tracking

On-the-fly calculation and visualization of various attributes and filters

Plug-in architecture"|BambooDirt
OpendTect|license|academic|TERESAH
OpendTect|keyword|analysis|TERESAH
OpendTect|keyword|archaeology|TERESAH
OpendTect|license|commercial|TERESAH
OpendTect|keyword|creation|TERESAH
OpendTect|operating-system|Cross-platform|TERESAH
OpendTect|creator|Freshmeat|TERESAH
OpendTect|keyword|geography|TERESAH
OpendTect|keyword|Geophysical survey|TERESAH
OpendTect|license|GNU GPL|TERESAH
OpendTect|keyword|Graphical rendering|TERESAH
OpendTect|url|http://opendtect.org/index.php|TERESAH
OpendTect|operating-system|Linux|TERESAH
OpendTect|keyword|Open Graphics Library (OpenGL)|TERESAH
OpendTect|creator|OpendTect project|TERESAH
OpendTect|operating-system|osX|TERESAH
OpendTect|keyword|seismic|TERESAH
OpendTect|operating-system|Windows|TERESAH
OpendTect|application-category|Visualization|TERESAH
OpenLayers|license|BSD|TERESAH
OpenLayers|url|http://openlayers.org/|TERESAH
OpenLayers|is-used-for|Mapping|TERESAH
OpenLayers|keyword|markers|TERESAH
OpenLayers|creator|Open Source Geospatial Foundation|TERESAH
OpenLayers|description|OpenLayers is a Javascript library that can display map tiles and markers loaded from any source.|BambooDirt
OpenLayers|operating-system|Web|TERESAH
OpenOffice|license|Apache License|TERESAH
OpenOffice|creator|Apache Software Foundation|TERESAH
OpenOffice|url|http://www.openoffice.org|TERESAH
OpenOffice|description|OpenOffice is an open-source office software suite for word processing, spreadsheets, presentations, graphics and databases.|BambooDirt
OpenOffice|operating-system|osX|TERESAH
OpenOffice|application-category|Writing|TERESAH
OpenOffice|keyword|writing|TERESAH
ORBIS|keyword|Active|TERESAH
ORBIS|url|http://orbis.stanford.edu/|TERESAH
ORBIS|description|ORBIS: The Stanford Geospatial Network Model of the Roman World reconstructs the time cost and financial expense associated with a wide range of different types of travel in antiquity.|BambooDirt
ORBIS|creator|Stanford University|TERESAH
ORBIS|operating-system|Web|TERESAH
ORBIS|application-category|Visualization|TERESAH
Org Mode|keyword|Active|TERESAH
Org Mode|creator|Bastien Guerry|TERESAH
Org Mode|url|http://orgmode.org/|TERESAH
Org Mode|operating-system|Linux|TERESAH
Org Mode|description|Org mode is for keeping notes, maintaining TODO lists, doing project planning, and authoring with a fast and effective plain-text system.|BambooDirt
Org Mode|application-category|Meta: Project Management|TERESAH
oSkope|url|http://www.oskope.com/|TERESAH
oSkope|creator|oSkope|TERESAH
oSkope|description|oSkope is a visual search assistant that allows you to browse and organize items from Amazon, eBay, Flickr, Fotolia, Yahoo!Image Search and YouTube. Results are displayed on an interactive Flash grid of thumbnails.|BambooDirt
oSkope|operating-system|Web|TERESAH
oSkope|keyword|visualization|TERESAH
Otixo|keyword|Active|TERESAH
Otixo|keyword|cloud storage|TERESAH
Otixo|url|http://otixo.com/|TERESAH
Otixo|application-category|Collaboration|TERESAH
Otixo|creator|Otixo|TERESAH
Otixo|keyword|Paid|TERESAH
Otixo|operating-system|Web|TERESAH
Otixo|description|View and edit files from different cloud services (e.g. Dropbox, Google Drive, etc.) in one place.|BambooDirt
OttoBib|application-category|Organizing|TERESAH
OttoBib|keyword|bibliographic management|TERESAH
OttoBib|url|http://ottobib.com/|TERESAH
OttoBib|description|OttoBib allows you to create a bibliography based on looking up the data online. Additionally, the reader or teacher can see the books, their covers, links to Amazon or other online references.|BambooDirt
OttoBib|operating-system|Web|TERESAH
OxGarage|keyword|Beginner|TERESAH
OxGarage|application-category|Conversion|TERESAH
OxGarage|url|http://www.oucs.ox.ac.uk/oxgarage/|TERESAH
OxGarage|keyword|No active development|TERESAH
OxGarage|keyword|Online|TERESAH
OxGarage|creator|Oxford University|TERESAH
OxGarage|description|OxGarage is a document conversion facility. Users can upload files falling into three categories: documents, presentations and spreadsheets. In the documents category files in common format, such as Microsoft Word, plain text, or XHTML, or in various TEI formats, can be converted into many formats, including LaTeX, TEI P5, plain text, RDF XML and more. The spreadsheets input is limited to a few standard spreadsheet formats, such as Microsoft Excel and Open Office Spreadsheet, but the lists of outputs is still large. The presentation options are fewer but offer, for example, converstion of Powerpoint to Flash.|HistoryOnline
OxGarage|description|OxGarage is an experimental web, and RESTful, service to manage the transformation of documents (XML, word processing, spreadsheets, presentations) between a variety of formats. The majority of transformations use TEI as a pivot format. See the conversion matrix for details.|BambooDirt
OxGarage|application-category|Editing|TERESAH
OxGarage|application-category|Annotating|TERESAH
OxGarage|keyword|Single purpose|TERESAH
OxGarage|operating-system|Web|TERESAH
Padlet|keyword|Active|TERESAH
Padlet|is-used-for|Brainstorming|TERESAH
Padlet|url|http://padlet.com/|TERESAH
Padlet|description|What is Padlet? It is an online environmentally friendly online sticky note spot! This tool allows you to create a wall to collaborate with students, teachers, parents and others in the community. Go to http://padlet.com/ to build your own wall. Add sticky note like electronic messages including text, websites, images and videos. Now you may be asking “What can you do with Padlet?” well, you can brainstorm on any topic, plan and organize a collaborative project and list websites to use for research,|BambooDirt
Pandoc|application-category|6_Storage|TERESAH
Pandoc|license|GNU GPL|TERESAH
Pandoc|url|http://pandoc.org/index.html|TERESAH
Pandoc|creator|John MacFarlane|TERESAH
Pandoc|operating-system|Linux|TERESAH
Pandoc|description|Pandoc can convert documents in reStructuredText, textile, HTML, or LaTeX formats to a variety of other formats including XHTML, PDF, EPUB, docx, odt, and more.|BambooDirt
PDFCreator|keyword|conversion|TERESAH
PDFCreator|application-category|Conversion|TERESAH
PDFCreator|url|http://www.pdfforge.org/pdfcreator|TERESAH
PDFCreator|description|PDFCreator is a free PDF creation utility for Windows that includes features for password protection and disabling printing.|BambooDirt
PDFCreator|operating-system|Windows|TERESAH
PDFsam (PDF Split and Merge)|keyword|batch processing|TERESAH
PDFsam (PDF Split and Merge)|application-category|Conversion|TERESAH
PDFsam (PDF Split and Merge)|license|GNU GPL|TERESAH
PDFsam (PDF Split and Merge)|url|http://www.pdfsam.org/|TERESAH
PDFsam (PDF Split and Merge)|operating-system|osX|TERESAH
PDFsam (PDF Split and Merge)|description|PDFsam can split and merge batches of PDFs.|BambooDirt
Perl|keyword|Apache HTTP server|TERESAH
Perl|license|Artistic License|TERESAH
Perl|keyword|C|TERESAH
Perl|keyword|C++|TERESAH
Perl|keyword|creation|TERESAH
Perl|operating-system|Cross-platform|TERESAH
Perl|license|GNU GPL|TERESAH
Perl|url|http://www.perl.org/|TERESAH
Perl|keyword|Java|TERESAH
Perl|creator|Larry Wall|TERESAH
Perl|operating-system|Linux|TERESAH
Perl|keyword|Microsoft's .NET Framework|TERESAH
Perl|description|Perl is a high-level, general-purpose, interpreted, dynamic programming language.  Originally developed for text manipulation, it is now used for a wide range of tasks including graphics programming, system administration, network programming, applications that require database access and CGI programming on the Web.|ArtsHumanities
Perl|description|"Perl is a high-level, general-purpose, interpreted, dynamic programming language. Originally developed for text manipulation, it is now used for a wide range of tasks including graphics programming, system administration, network programming, applications that require database access and CGI programming on the Web.
Features:
C, shell scripting (sh), AWK, and sed
Powerful text processing facilities
Flexibility and adaptability
Support for multiple programming paradigms
Reference counting memory management"|BambooDirt
Perl|keyword|PHP|TERESAH
Perl|keyword|Programming language|TERESAH
Perl|keyword|Ruby|TERESAH
Perl|creator|The Perl Foundation|TERESAH
Perl|application-category|Web development|TERESAH
Piazza|keyword|Active|TERESAH
Piazza|application-category|Meta: Teaching / Learning|TERESAH
Piazza|keyword|e-learning|TERESAH
Piazza|url|https://piazza.com/|TERESAH
Piazza|creator|Inc.|TERESAH
Piazza|operating-system|Web|TERESAH
Piazza|description|Web-based web discussion tool (it's not a full fledged learning management system) that allows student to ask questions and interact with teachers in a public space, which, ideally, saves time for teachers and fosters greater engagement.|BambooDirt
Plone|keyword|Active|TERESAH
Plone|creator|Alexander Limi, Alan Runyan, and Vidar Andersen|TERESAH
Plone|keyword|AWK|TERESAH
Plone|keyword|Content management|TERESAH
Plone|keyword|creation|TERESAH
Plone|operating-system|Cross-platform|TERESAH
Plone|standard|CSS|TERESAH
Plone|standard|DOC|TERESAH
Plone|license|GNU GPL|TERESAH
Plone|url|http://plone.org/|TERESAH
Plone|keyword|Javascript|TERESAH
Plone|license|open source|TERESAH
Plone|standard|PDF|TERESAH
Plone|keyword|Perl|TERESAH
Plone|keyword|PHP|TERESAH
Plone|description|Plone is a powerful, flexible, open source Content Management System (CMS) built on top of Zope application server and CMF.|ArtsHumanities
Plone|description|"Plone is a powerful, flexible, open source Content Management System (CMS) built on top of Zope application server and CMF.
Features:
Flexible and adaptable workflow
Customisable
Free add-ons
Versioning, history and reverting content
Support for multiple mark up formats
Multilingual content management
RSS feed support
WebDAV and FTP support
WYSIWYG"|BambooDirt
Plone|application-category|Publishing|TERESAH
Plone|keyword|Python|TERESAH
Plone|creator|The Plone Foundation|TERESAH
Plone|operating-system|Web|TERESAH
Plone|application-category|Web development|TERESAH
Plone|keyword|web-server|TERESAH
Plone|keyword|XHTML|TERESAH
Plone|keyword|XML|TERESAH
Pocket|keyword|Active|TERESAH
Pocket|application-category|Gathering|TERESAH
Pocket|application-category|Meta: Give Overview|TERESAH
Pocket|keyword|bookmarking|TERESAH
Pocket|url|http://getpocket.com/|TERESAH
Pocket|creator|Inc|TERESAH
Pocket|description|Pocket (formerly Read It Later) is a tool to save web pages for reading later. This tool allows you to read on the computer, iPhone, iPad, iPod touch, Kindle, or on paper.|BambooDirt
Pocket|operating-system|Web|TERESAH
PostgreSQL|keyword|C|TERESAH
PostgreSQL|operating-system|Cross-platform|TERESAH
PostgreSQL|keyword|database|TERESAH
PostgreSQL|url|http://www.postgresql.org/|TERESAH
PostgreSQL|keyword|Java|TERESAH
PostgreSQL|operating-system|Linux|TERESAH
PostgreSQL|keyword|Manual input and transcription|TERESAH
PostgreSQL|creator|Michael Stonebraker|TERESAH
PostgreSQL|keyword|ODBC|TERESAH
PostgreSQL|keyword|Perl|TERESAH
PostgreSQL|keyword|PHP|TERESAH
PostgreSQL|creator|PostgreSQL Global Development Group|TERESAH
PostgreSQL|description|PostgreSQL is a powerful, open source object-relational database system.|ArtsHumanities
PostgreSQL|description|PostgreSQL is a powerful, open source object-relational database system.|BambooDirt
PostgreSQL|license|PostgreSQL License|TERESAH
PostgreSQL|keyword|Python|TERESAH
PostgreSQL|keyword|query language|TERESAH
PostgreSQL|keyword|Ruby|TERESAH
PostgreSQL|keyword|structuring|TERESAH
PostgreSQL|keyword|Tcl|TERESAH
PostgreSQL|keyword|.Net|TERESAH
PostgreSQL|standard|XML|TERESAH
Prism|license|Creative Commons Attribution|TERESAH
Prism|url|http://prism.scholarslab.org/|TERESAH
Prism|description|Prism is a tool for crowdsourcing interpretation. Welcome to our experiment in crowd-sourcing and visualizing many readings of a common set of texts.|BambooDirt
Prism|application-category|Gathering|TERESAH
Prism|application-category|Organizing|TERESAH
Prism|creator|University of Virginia Scholars' Lab|TERESAH
Prism|operating-system|Web|TERESAH
Proofread Page|url|https://www.mediawiki.org/wiki/Extension:Proofread_Page|TERESAH
Proofread Page|keyword|mediawiki|TERESAH
Proofread Page|description|Proofread Page is an extension for MediaWiki which allows you to edit transcriptions side by side with the page images. It is used on WikiSource for manuscript and early print transcription projects. Proofread Page supports workflow, but no markup.|BambooDirt
Proofread Page|application-category|Transcription|TERESAH
Proofread Page|operating-system|Web|TERESAH
Publish or Perish|creator|Anne-Wil Harzing|TERESAH
Publish or Perish|url|http://www.harzing.com/pop.htm|TERESAH
Publish or Perish|operating-system|Linux|TERESAH
Publish or Perish|description|Publish or Perish is a software program that retrieves and analyzes academic citations. It uses Google Scholar to obtain the raw citations, then analyzes these and presents the statistics.|BambooDirt
Publish or Perish|application-category|Collaboration|TERESAH
Publish or Perish|application-category|Communicating|TERESAH
Pundit|keyword|Active|TERESAH
Pundit|application-category|Communicating|TERESAH
Pundit|license|Creative Commons Attribution 3.0 Unported|TERESAH
Pundit|creator|DM2E|TERESAH
Pundit|url|http://www.thepund.it/|TERESAH
Pundit|description|"Pundit is a semantic annotation and augmentation tool. It enables users to create structured data while annotating web pages.

Annotations span from simple comments to semantic links to web of data entities (as Freebase.com and Dbpedia.org), to fine granular cross-references and citations. Pundit can be configured to include custom controlled vocabularies. In other words, annotations can refer to precise entities and concepts as well as express precise relations among entities and contents. Read more on semantically structured annotations

Pundit is designed to enable groups of users to share their annotations and collaboratively create structured knowledge."|BambooDirt
Pundit|operating-system|Web|TERESAH
Purdue OWL|url|http://owl.english.purdue.edu/owl/search.php|TERESAH
Purdue OWL|creator|Purdue University English Dept.|TERESAH
Purdue OWL|description|The Online Writing Lab (OWL) at Purdue University houses writing resources and instructional material. As a member of the Writing Lab community, you can find information to assist with various writing projects. Teachers and trainers can also use this material for in-class and out-of-class instruction. Links should be attributed to the Purdue University Online Writing Lab (OWL). No commercial use of the Purdue OWL is permitted.|BambooDirt
PyBossa|license|GNU Affero GPL|TERESAH
PyBossa|url|http://crowdcrafting.org/|TERESAH
PyBossa|keyword|In development|TERESAH
PyBossa|creator|Open Knowledge Foundation|TERESAH
PyBossa|description|PyBossa is a free, open-source, platform for creating and running crowd-sourcing applications that utilise online assistance in performing tasks that require human cognition, knowledge or intelligence such as image classification, transcription, geocoding and more.|BambooDirt
PyBossa|application-category|Transcription|TERESAH
PyBossa|operating-system|Web|TERESAH
Python|description|A general-purpose high-level programming language that places an emphasis upon code readability. Python supports a number of development models, including object oriented, imperative, and functional design. It provides automatic memory management and a fully dynamic type system.|ArtsHumanities
Python|description|"A general-purpose high-level programming language that places an emphasis upon code readability. Python supports a number of development models, including object oriented, imperative, and functional design. It provides automatic memory management and a fully dynamic type system.
Features:
Very clear, readable syntax
Strong introspection capabilities
Intuitive object orientation
Natural expression of procedural code
Full modularity, supporting hierarchical packages
Exception-based error handling
Very high level dynamic data types
Extensive standard libraries and third party modules for virtually every task
Extensions and modules easily written in C, C++ (or Java for Jython, or .NET languages for IronPython)
Embeddable within applications as a scripting interface"|BambooDirt
Python|keyword|Active|TERESAH
Python|keyword|C|TERESAH
Python|keyword|C++|TERESAH
Python|keyword|COM|TERESAH
Python|keyword|CORBA|TERESAH
Python|keyword|creation|TERESAH
Python|operating-system|Cross-platform|TERESAH
Python|creator|Guido Van Rossum|TERESAH
Python|url|http://www.python.org/|TERESAH
Python|keyword|Java|TERESAH
Python|operating-system|Linux|TERESAH
Python|keyword|Microsoft's .NET Framework|TERESAH
Python|keyword|Programming language|TERESAH
Python|license|Python Software Foundation|TERESAH
Python|creator|Python Software Foundation|TERESAH
Python|operating-system|Windows|TERESAH
Python|standard|XML|TERESAH
Python|keyword|XML RCP|TERESAH
Qiqqa|operating-system|Android|TERESAH
Qiqqa|application-category|Meta: Teaching / Learning|TERESAH
Qiqqa|keyword|document management|TERESAH
Qiqqa|url|http://www.qiqqa.com/|TERESAH
Qiqqa|description|"Qiqqa is a research management software that allows you to organize large numbers of papers; find new papers to read and new information about papers you already have; review materials and create annotation reports. Qiqqa has several PDF tools that also allow you to convert from PDFs to text, and use a clipboard function to cut and paste text into your document."|BambooDirt
Qnotero|keyword|Active|TERESAH
Qnotero|keyword|bibliographic management|TERESAH
Qnotero|description|Desktop application to quickly search Zotero references and open PDFs attached to those references.|BambooDirt
Qnotero|url|http://www.cogsci.nl/software/qnotero|TERESAH
Qnotero|operating-system|Linux|TERESAH
Qnotero|is-used-for|Searching|TERESAH
Qnotero|creator|Sebastiaan Mathôt|TERESAH
R|application-category|4_Analysis|TERESAH
R|url|http://www.r-project.org/|TERESAH
R|operating-system|iOS|TERESAH
R|description|"R is a free software environment for statistical computing and graphics. R can be run from the command line, or using any of the many graphical user interfaces available on a variety of platforms; these are listed as separate tools."|BambooDirt
RSiena|keyword|Active|TERESAH
RSiena|application-category|4_Analysis|TERESAH
RSiena|license|GNU GPL v2|TERESAH
RSiena|url|http://www.stats.ox.ac.uk/~snijders/siena/|TERESAH
RSiena|operating-system|Linux|TERESAH
RSiena|keyword|network analysis|TERESAH
RSiena|keyword|R|TERESAH
RSiena|description|RSiena is a package for the R language that enables the statistical analysis of network data, including longitudinal network data, longitudinal data of networks and behavior, and cross-sectional network data. It provides the same functionality available in SIENA (Simulation Investigation for Empirical Network Analysis), Windows software which is no longer maintained.|BambooDirt
Ruby on Rails|keyword|ATOM|TERESAH
Ruby on Rails|operating-system|Cross-platform|TERESAH
Ruby on Rails|creator|David Heinemeier Hansson|TERESAH
Ruby on Rails|standard|HTML|TERESAH
Ruby on Rails|url|http://rubyonrails.org/|TERESAH
Ruby on Rails|keyword|JASON|TERESAH
Ruby on Rails|operating-system|Linux|TERESAH
Ruby on Rails|license|MIT|TERESAH
Ruby on Rails|license|MIT License|TERESAH
Ruby on Rails|keyword|programming|TERESAH
Ruby on Rails|creator|Rails Core Team|TERESAH
Ruby on Rails|description|Ruby on Rails is a web development framework written in the Ruby language. It is intended to be used with an Agile development methodology that is used by web developers for rapid development.|BambooDirt
Ruby on Rails|description|"Ruby on Rails, often shortened to Rails or RoR, is a web development framework written in the Ruby language.
It is intended to be used with an Agile development methodology that is used by web developers for rapid development.Ruby on Rails is separated into various packages, namely ActiveRecord (an object-relational mapping system for database access), ActiveResource (provides web services), ActionPack, ActiveSupport and ActionMailer."|ArtsHumanities
Ruby on Rails|keyword|structuring|TERESAH
Ruby on Rails|keyword|web applications|TERESAH
Ruby on Rails|keyword|web development|TERESAH
Ruby on Rails|keyword|XML|TERESAH
Screencast-o-matic|description|A free Java-based online application which allows you to create recordings of your desktop.|BambooDirt
Screencast-o-matic|keyword|editing|TERESAH
Screencast-o-matic|url|http://www.screencast-o-matic.com/|TERESAH
Screencast-o-matic|keyword|Java|TERESAH
Screencast-o-matic|keyword|Paid|TERESAH
Screencast-o-matic|creator|Screencast-o-matic|TERESAH
